Titulo,Rating,Genero,Descripcion,Temporadas,Link,Titulo Capitulo,Episodio,Duracion,Descripcion Capitulo,Link Capitulo
Sin tetas no hay paraíso (ESP),TV-PG,Telenovela,"Cata y ""El Duque"", un romance lleno de intrigas y obstáculos. Ella, una joven estudiante de 17 años mientras que él es uno de los narcotraficantes más famosos.",3 Temporadas Disponibles,https://pluto.tv/latam/on-demand/series/609e9d0641fc48001327cce7/details,Episodio 19,T1E19,45 min,"En la comisaria, Velasco uno de los agentes decide abandonara su cargo para no estropear la carrera de su amigo y compañero de trabajo, Diego.",https://pluto.tv/latam/on-demand/series/609e9d0641fc48001327cce7/details
Sin tetas no hay paraíso (ESP),TV-PG,Telenovela,"Cata y ""El Duque"", un romance lleno de intrigas y obstáculos. Ella, una joven estudiante de 17 años mientras que él es uno de los narcotraficantes más famosos.",3 Temporadas Disponibles,https://pluto.tv/latam/on-demand/series/609e9d0641fc48001327cce7/details,Episodio 20,T1E20,45 min,"A raíz de los disparos que recibió Jesús a manos de uno de los hombres del Duque, queda gravemente herido... lo que le causa la muerte minutos después de que su novia Paula le confesara que estaban esperando un hijo.",https://pluto.tv/latam/on-demand/series/609e9d0641fc48001327cce7/details
Naruto Shippuden,TV-14,Anime,"La Aldea Escondida es el hogar del ninja más sigiloso de la tierra. Naruto, que tiene el espíritu de un zorro de nueve colas sellado dentro de él. ¡Doce años después, está decidido a convertirse en el mejor ninja de la historia!",1 Temporada disponible,https://pluto.tv/latam/on-demand/series/5ed68438af4720001a024113/details,De Vuelta A Casa,T1E221,23 min,"En la Aldea Oculta en las Hojas, el equipo de Konohamaru es promovido y puede ir a misiones de rango D. De repente, una figura atraviesa las puertas. Es un Naruto mayor, que regresó de un viaje con Jiraiya. ¡Naruto Uzumaki está de vuelta!",https://pluto.tv/latam/on-demand/series/5ed68438af4720001a024113/details
Naruto Shippuden,TV-14,Anime,"La Aldea Escondida es el hogar del ninja más sigiloso de la tierra. Naruto, que tiene el espíritu de un zorro de nueve colas sellado dentro de él. ¡Doce años después, está decidido a convertirse en el mejor ninja de la historia!",1 Temporada disponible,https://pluto.tv/latam/on-demand/series/5ed68438af4720001a024113/details,El Primer Movimiento De Los Akatsuki,T1E222,23 min,"Jiraiya ha terminado su novela para deleite de Kakashi. Sin embargo, da noticias secretas de que Akatsuki está en movimiento. En el pueblo de arena, Gaara ahora es el Kazekage y los miembros de Akatsuki se infiltran en el pueblo.",https://pluto.tv/latam/on-demand/series/5ed68438af4720001a024113/details
Naruto Shippuden,TV-14,Anime,"La Aldea Escondida es el hogar del ninja más sigiloso de la tierra. Naruto, que tiene el espíritu de un zorro de nueve colas sellado dentro de él. ¡Doce años después, está decidido a convertirse en el mejor ninja de la historia!",1 Temporada disponible,https://pluto.tv/latam/on-demand/series/5ed68438af4720001a024113/details,El Resultado Del Entrenamiento,T1E223,23 min,"Naruto y Sakura obligan a Kakashi a usar su Sharingan. Naruto libera su jutsus mientras Sakura usa técnicas aprendidas de Tsunade. En las afueras de la Villa de la Arena, Deidara de Akatsuki comienza una operación secreta para encontrar a Gaara.",https://pluto.tv/latam/on-demand/series/5ed68438af4720001a024113/details
Naruto Shippuden,TV-14,Anime,"La Aldea Escondida es el hogar del ninja más sigiloso de la tierra. Naruto, que tiene el espíritu de un zorro de nueve colas sellado dentro de él. ¡Doce años después, está decidido a convertirse en el mejor ninja de la historia!",1 Temporada disponible,https://pluto.tv/latam/on-demand/series/5ed68438af4720001a024113/details,El Jinchuriki De La Arena,T1E224,23 min,Gaara detecta rápidamente a Deidara en su pájaro y comienza una batalla aérea. Yura es un agente encubierto de Akatsuki y Sand Village está dañado. Naruto y Sakura continúan con su desafío y confirman el poder de Kakashi.,https://pluto.tv/latam/on-demand/series/5ed68438af4720001a024113/details
Naruto Shippuden,TV-14,Anime,"La Aldea Escondida es el hogar del ninja más sigiloso de la tierra. Naruto, que tiene el espíritu de un zorro de nueve colas sellado dentro de él. ¡Doce años después, está decidido a convertirse en el mejor ninja de la historia!",1 Temporada disponible,https://pluto.tv/latam/on-demand/series/5ed68438af4720001a024113/details,El Kazekage Se Mantiene En Pie,T1E225,23 min,"Naruto y Sakura vencieron a Kakashi. Tsunade los asigna a un escuadrón de tres hombres dirigido por Kakashi. En Aldea, Gaara y Deidara continúan su batalla. A Baki le preocupa que el Shukaku se materialice y Kankuro se ría de él.",https://pluto.tv/latam/on-demand/series/5ed68438af4720001a024113/details
Naruto Shippuden,TV-14,Anime,"La Aldea Escondida es el hogar del ninja más sigiloso de la tierra. Naruto, que tiene el espíritu de un zorro de nueve colas sellado dentro de él. ¡Doce años después, está decidido a convertirse en el mejor ninja de la historia!",1 Temporada disponible,https://pluto.tv/latam/on-demand/series/5ed68438af4720001a024113/details,Misión Cumplida,T1E226,23 min,Gaara usa su chakra y crea un escudo de arena para proteger la aldea. Gaara queda débil al ser atacado y no le queda nada para contrarrestar las múltiples trampas de Deidara. Gaara cae en las manos de Deidara pese a la ayuda de sus amigos.,https://pluto.tv/latam/on-demand/series/5ed68438af4720001a024113/details
Naruto Shippuden,TV-14,Anime,"La Aldea Escondida es el hogar del ninja más sigiloso de la tierra. Naruto, que tiene el espíritu de un zorro de nueve colas sellado dentro de él. ¡Doce años después, está decidido a convertirse en el mejor ninja de la historia!",1 Temporada disponible,https://pluto.tv/latam/on-demand/series/5ed68438af4720001a024113/details,"Corre, Kankuro",T1E227,23 min,"Gaara es capturado por Deidara. Kankuro y un pelotón se disponen a salvar a Gaara. Los ninja caen en las trampas de los Akatsuki. Kankuro solo, los alcanza. En Leaf Village, el nuevo escuadrón de Naruto le da la bienvenida el día de su primera misión.",https://pluto.tv/latam/on-demand/series/5ed68438af4720001a024113/details
Naruto Shippuden,TV-14,Anime,"La Aldea Escondida es el hogar del ninja más sigiloso de la tierra. Naruto, que tiene el espíritu de un zorro de nueve colas sellado dentro de él. ¡Doce años después, está decidido a convertirse en el mejor ninja de la historia!",1 Temporada disponible,https://pluto.tv/latam/on-demand/series/5ed68438af4720001a024113/details,Entra En Acción El Equipo Kakashi,T1E228,23 min,Un mensaje advierte del secuestro del Kazekage por parte de los Akatsuki. Tsunade envía al equipo Kakashi a la aldea. Kankuro comienza su batalla contra los Akatsuki pero es neutralizado.,https://pluto.tv/latam/on-demand/series/5ed68438af4720001a024113/details
